host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
DGX-CN02,3,h2tvit_base_patch16_clip_224.laion2b,aircraft,[],,[],False,False,0,2.0,0.0001,1,5e-06,45,224,32,5267,1400,69.14285949707032,1.2239095052083333,85.78506097560975,1.3603813270243204,16.66,5.2832,17.5755,92.4043,
DGX-CN02,3,h2tvit_base_patch16_clip_224.laion2b,aircraft,[],,[],False,False,0,2.0,0.0001,1,1e-05,45,224,32,5267,1400,73.85714468819755,1.0235270182291667,89.91996951219512,1.151780943681554,16.73,5.2832,17.5755,92.4043,
DGX-CN02,3,h2tvit_base_patch16_clip_224.laion2b,aircraft,[],,[],False,False,0,2.0,0.0001,1,0.0001,45,224,32,5267,1400,42.78571572440011,2.096695963541667,71.09375,1.5690747666649705,16.79,5.2832,17.5755,92.4043,
DGX-CN02,3,h2tvit_base_patch16_clip_224.laion2b,aircraft,[],,[],False,False,0,2.0,0.0001,1,0.0005,45,224,32,5267,1400,5.285714525495257,4.35703125,5.735518292682927,4.30326971775148,16.71,5.2832,17.5755,92.4043,
DGX-CN02,3,h2tvit_base_patch16_clip_224.laion2b,aircraft,[],,[],False,False,0,2.0,0.0,1,5e-06,45,224,32,5267,1400,74.35714451381138,0.9877522786458334,90.5297256097561,0.6195174775472502,16.82,5.2637,17.5755,92.4043,
DGX-CN02,3,h2tvit_base_patch16_clip_224.laion2b,aircraft,[],,[],False,False,0,2.0,0.0,1,5e-05,45,224,32,5267,1400,76.42857365199498,0.8503753662109375,99.16158536585364,0.07783399013484396,16.81,5.2637,17.5755,92.4043,
DGX-CN02,3,vqtvit_base_patch16_clip_224.laion2b,aircraft,[],,[],False,False,0,2.0,0.0001,1,1e-05,45,224,32,5267,1400,77.78571672712053,0.8376261393229166,96.875,0.7921262343482274,17.17,5.4355,18.0163,90.5289,
DGX-CN02,3,h2tvit_base_patch16_clip_224.laion2b,aircraft,[],,[],False,False,0,2.0,0.0,1,1e-05,45,224,32,5267,1400,79.14285914829799,0.7913981119791667,95.1219512195122,0.36705145894027336,16.79,5.2637,17.5755,92.4043,
DGX-CN02,3,h2tvit_base_patch16_clip_224.laion2b,aircraft,[],,"[3, 6, 9, 11]",False,False,0,2.0,0.0001,1,0.0005,45,224,32,5267,1400,3.0714287076677596,4.473177083333334,4.173018292682927,4.439463124042604,16.69,5.1816,17.5711,88.1035,
DGX-CN02,3,vqtvit_base_patch16_clip_224.laion2b,aircraft,[],,[],False,False,0,2.0,0.0001,1,5e-06,45,224,32,5267,1400,78.07143110002791,0.9595621744791668,93.8452743902439,0.9971171330388,17.1,5.4355,18.0163,90.5289,
