host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
server-3090,10,evit_vit_base_patch16_clip_224.laion2b,aircraft,[0.25],0.25,"[3, 6, 9]",False,False,0,2,,1,0.0001,45,224,32,6667,3333,72.30723290911244,1.2430803571428573,99.90985576923076,0.003101226443854662,14.98,3.44,6.282267748,85.88,
DGX-CN01,10,evit_vit_base_patch16_224.in1k_mocov3,cub,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,82.87884247595169,0.7031102456337164,100.0,0.000862489549074581,6.45,4.3828,11.6133,86.8858,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in1k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,12763,11143,40.662300432005445,3.031036245976394,99.97644472361809,0.0014764702219010595,35.47,3.7793,8.8245,86.6699,
DGX-CN01,10,evit_vit_base_patch16_224.dino,cub,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,80.82499414614492,0.8475334230533316,100.0,0.0003024480718979861,6.57,4.3828,11.6133,86.8858,
DGX-CN01,10,evit_deit_base_patch16_224.fb_in1k,cub,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,84.50121051128626,0.6800183382901278,100.0,0.000513184616431833,6.47,4.3828,11.6133,86.8858,
DGX-CN01,10,evit_vit_base_patch16_clip_224.laion2b,aircraft,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,6667,3333,82.7182743062209,0.778910173688616,100.0,0.0005991953031088298,18.43,3.6523,8.8221,85.8763,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,cub,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,87.00379925939515,0.635549139385381,100.0,0.0004495430120172347,6.68,4.5391,11.6158,86.9035,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in1k,cub,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,84.46669198596811,0.7043823053028958,100.0,0.0004412423879067528,6.67,4.5391,11.6158,86.9035,
DGX-CN01,10,evit_vit_base_patch16_224_miil.in21k,aircraft,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,6667,3333,80.46804922191438,0.8211574009486607,100.0,0.0005703316285060003,18.29,3.5039,8.8219,85.8479,
DGX-CN01,10,evit_vit_base_patch16_clip_224.laion2b,cub,[0.5],0.5,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,79.47877336527752,0.8573667668114023,100.0,0.0008881231919329434,6.4,3.6523,8.8223,86.8866,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soygene,[0.25],0.25,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,12763,11143,14.93314238107259,5.18271358637339,99.71733668341707,0.03580115900267309,35.58,3.2988,6.533,86.653,
DGX-CN01,10,evit_vit_base_patch16_224_miil.in21k,cub,[0.5],0.5,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,85.55402350302272,0.6625913352020516,100.0,0.000861705226056716,6.35,3.5098,8.8221,86.8582,
DGX-CN01,10,evit_vit_base_patch16_224.orig_in21k,cub,[0.5],0.5,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,86.34794900069205,0.6370588570586906,99.98328877005348,0.0019605439056687175,6.43,3.6328,8.8221,86.8858,
DGX-CN01,10,evit_vit_base_patch16_224.orig_in21k,aircraft,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,6667,3333,81.90819340112722,0.7933561052594866,99.8798076923077,0.0036999887715165433,18.34,3.6445,8.8219,85.8756,
DGX-CN01,10,evit_vit_base_patch16_224.mae,cub,[0.5],0.5,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,81.06662285949264,0.811606036730049,99.98328877005348,0.002085962855720265,6.42,3.6328,8.8221,86.8858,
DGX-CN01,10,evit_vit_base_patch16_224.in1k_mocov3,cub,[0.5],0.5,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,82.18847348651353,0.731040828484149,100.0,0.0007460725737765511,6.45,3.6328,8.8221,86.8858,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in1k,aircraft,[0.7],0.7,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,6667,3333,84.84848733896827,0.6589650835309709,100.0,0.00026567448646976397,18.42,4.502,11.6156,85.8932,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,55.333334045410155,2.2403846153846154,100.0,0.10287202729119196,1.14,4.3652,12.1784,86.8881,
DGX-CN01,10,evit_vit_base_patch16_224.mae,cub,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,82.29202863583286,0.7385392622514204,100.0,0.0006583246556832829,6.47,4.3457,11.6133,86.8858,
DGX-CN01,10,evit_vit_base_patch16_224_miil.in21k,cub,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,86.6758738930241,0.6189933335485537,100.0,0.0006422513030110834,6.39,4.1367,11.6133,86.8582,
DGX-CN01,10,evit_vit_base_patch16_224_miil.in21k,cub,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,10,0.0001,45,224,32,5994,5794,79.73766227882814,0.8920618482857696,99.94986631016044,0.003508010012580749,6.5,3.2715,6.9627,86.8597,
DGX-CN01,10,evit_vit_base_patch16_224.in1k_mocov3,aircraft,[0.7],0.7,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,6667,3333,85.86858900810125,0.6173530033656529,99.96995192307692,0.002925323053764609,18.37,4.3516,11.6132,85.8756,
DGX-CN01,10,evit_vit_base_patch16_224.orig_in21k,cub,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,10,0.0001,45,224,32,5994,5794,82.36106576547567,0.7918561194553848,100.0,0.0011009742072559297,6.54,3.3691,6.9627,86.8873,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,12763,11143,45.7865937260444,2.498457618025751,100.0,0.0022258817138683857,35.33,3.6699,8.8227,86.6522,
DGX-CN01,10,evit_vit_base_patch16_224.mae,cub,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,10,0.0001,45,224,32,5994,5794,68.43286381156271,1.3675849851497934,99.91644385026738,0.007334109057079662,6.55,3.3691,6.9627,86.8873,
DGX-CN01,10,evit_vit_base_patch16_224.in1k_mocov3,cub,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,10,0.0001,45,224,32,5994,5794,77.49396170687585,0.9240339294938016,100.0,0.0017070071622330874,6.56,3.4141,6.9627,86.8873,
DGX-CN01,10,evit_vit_base_patch16_224.dino,aircraft,[0.7],0.7,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,6667,3333,77.94779753320181,1.0355224609375,99.9549278846154,0.002969133184076502,18.34,4.3496,11.6132,85.8756,
DGX-CN01,10,evit_vit_base_patch16_224.dino,cub,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,10,0.0001,45,224,32,5994,5794,77.11425856042821,1.0543053997449638,100.0,0.0004673194199959862,6.56,3.4141,6.9627,86.8873,
DGX-CN01,10,evit_deit_base_patch16_224.fb_in1k,cub,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,10,0.0001,45,224,32,5994,5794,76.61374074128072,0.967912405975594,99.98328877005348,0.002095666898285004,6.59,3.3691,6.9627,86.8873,
DGX-CN01,10,evit_deit_base_patch16_224.fb_in1k,aircraft,[0.7],0.7,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,6667,3333,84.1584181008738,0.652638898577009,99.9549278846154,0.0021745146682056096,18.41,4.3516,11.6132,85.8756,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,cub,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,10,0.0001,45,224,32,5994,5794,83.13773117091765,0.8136649013550814,100.0,0.0007363860819110258,6.79,3.4668,6.9642,86.9042,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,12763,11143,30.593198452048913,4.028374798819742,99.97644472361809,0.001777922669098006,35.53,3.7793,8.8245,86.6699,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in1k,cub,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,10,0.0001,45,224,32,5994,5794,79.91025449458509,0.920390672920164,100.0,0.0011024677100028584,6.78,3.4961,6.9642,86.9042,
DGX-CN01,10,evit_vit_base_patch16_clip_224.laion2b,cub,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,80.99758614068365,0.8250891315050362,100.0,0.0005729331928778459,6.48,4.3711,11.6135,86.8866,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,aircraft,[0.7],0.7,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,6667,3333,85.86858922784978,0.7011653355189732,99.98497596153848,0.0012347671346595655,18.43,4.502,11.6156,85.8932,
DGX-CN01,10,evit_vit_base_patch16_224.orig_in21k,cub,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,87.21091031649625,0.6191855895617777,100.0,0.0005166416260647902,6.47,4.3516,11.6133,86.8858,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,47.16666809082031,2.4132361778846154,100.0,0.18483103646172416,1.12,4.2441,12.1783,86.8597,
DGX-CN01,10,evit_vit_base_patch16_224.dino,cub,[0.5],0.5,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,80.08284636534697,0.8832799738103693,99.96657754010695,0.0008425937298147436,6.41,3.6562,8.8221,86.8858,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,46.3333349609375,2.534480168269231,100.0,0.12184058295355904,1.11,4.3535,12.1783,86.8873,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,48.33333465576172,2.5179537259615383,100.0,0.03875638378991021,1.12,3.9082,9.3216,86.9042,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,52.3333349609375,2.2221304086538463,100.0,0.07087177700466579,1.08,3.3262,6.9628,86.8881,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,43.33333450317383,2.5179537259615383,100.0,0.2436656951904297,1.07,3.1641,6.9627,86.8597,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,43.000000915527345,2.6243990384615383,99.82638888888889,0.3924581739637587,1.09,3.4023,6.9627,86.8873,
DGX-CN01,10,evit_vit_base_patch16_clip_224.laion2b,cub,[0.25],0.25,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,74.59441030210654,1.1099954400180785,100.0,0.0011273879298870576,6.39,3.3711,6.5324,86.8866,
DGX-CN02,10,evit_vit_base_patch16_224.mae,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,47.333334045410155,2.4725060096153846,98.78472222222224,0.8830954233805338,1.1,3.3066,6.9627,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,43.50000137329101,2.6371694711538463,100.0,0.1339279810587565,1.09,3.4023,6.9627,86.8873,
DGX-CN02,10,evit_vit_base_patch16_224.dino,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,42.83333480834961,2.617863581730769,100.0,0.01536810729238722,1.13,3.4023,6.9627,86.8873,
DGX-CN02,10,evit_deit_base_patch16_224.fb_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,47.00000152587891,2.400390625,100.0,0.17776886622111002,1.18,3.4082,6.9627,86.8873,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,44.333334350585936,2.5242638221153846,100.0,0.07808955510457356,1.19,3.418,6.9642,86.9042,
DGX-CN01,10,evit_vit_base_patch16_224_miil.in21k,cub,[0.25],0.25,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,82.13669546941745,0.812925354508329,100.0,0.001530356944244813,6.4,3.166,6.5323,86.8582,
DGX-CN02,10,evit_deit3_base_patch16_224.fb_in1k,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0.0,100,0.0001,45,224,32,600,600,49.16666717529297,2.383037860576923,100.0,0.05967360072665744,1.15,3.4922,6.9642,86.9042,
DGX-CN02,10,evit_vit_base_patch16_clip_224.laion2b,soylocal,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,100,0.0001,45,224,32,600,600,44.33333480834961,2.507512019230769,100.0,0.5455116695827908,1.2,4.3613,11.6135,86.8866,
DGX-CN02,10,evit_vit_base_patch16_224_miil.in21k,soylocal,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,100,0.0001,45,224,32,600,600,44.16666763305664,2.4725060096153846,100.0,0.18564955393473304,1.13,4.1289,11.6133,86.8582,
DGX-CN02,10,evit_vit_base_patch16_224.orig_in21k,soylocal,[0.7],0.7,"[3, 6, 9]",True,False,0,2,0.0,100,0.0001,45,224,32,600,600,44.66666793823242,2.540790264423077,100.0,0.12787013583713108,1.05,4.3828,11.6133,86.8858,
DGX-CN01,10,evit_vit_base_patch16_224.in1k_mocov3,aircraft,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0.0,10,0.0001,45,224,32,6667,3333,85.6285652620743,0.6450796944754464,99.9248798076923,0.0041708390658291485,18.39,3.6445,8.8219,85.8756,
DGX-CN01,10,evit_deit3_base_patch16_224.fb_in1k,cub,[0.5],0.5,"[3, 6, 9]",True,False,0,2,0.0,10,0.0001,45,224,32,5994,5794,84.1732849869022,0.7083782479782735,100.0,0.00038805181648641986,6.63,3.7734,8.824,86.9035,
