host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
buyatti,14,glsf_vit_base_patch16_224.in1k_mocov3,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,5994,5794,61.90887311330367,1.599474189695248,100.0,0.0018038557852334517,12.79,2.9297,5.962,86.8873,
buyatti,14,edar_deit3_base_patch16_224.fb_in1k,cub,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,5994,5794,77.70107232154054,0.9895522062443504,99.96657754010695,0.00261010877031056,17.43,3.1914,6.8615,86.9042,
buyatti,14,glsf_vit_base_patch16_224.in1k_mocov3,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,6667,3333,77.61776396221775,0.9414945329938617,99.93990384615384,0.004240403202577279,16.57,2.9766,5.9619,86.7336,
buyatti,14,edar_deit3_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,6667,3333,83.618364033669,0.7475681849888393,99.96995192307692,0.0018382007256150248,21.49,3.4199,6.8614,86.7505,
buyatti,14,glsf_vit_base_patch16_224.in1k_mocov3,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,6667,3333,78.54785739270338,0.9403276715959822,99.98497596153848,0.003738552385654587,17.96,2.9766,5.9619,86.7336,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,5994,5794,80.18640227312872,0.8613780628551136,99.96657754010695,0.0024622951479837856,13.38,3.0215,5.9633,86.9042,
buyatti,14,glsf_vit_base_patch16_224.in1k_mocov3,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,6667,3333,77.37773999644227,0.9909354073660714,99.93990384615384,0.004688892871714556,18.27,2.9766,5.9619,86.7336,
buyatti,14,edar_deit3_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,6667,3333,82.83828612429724,0.7898771013532366,99.9549278846154,0.002802951744972513,21.94,3.4199,6.8614,86.7505,
buyatti,14,glsf_vit_base_patch16_224.in1k_mocov3,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,12763,11143,58.556943318814525,1.7809398471030042,99.97644472361809,0.0050013522762599304,33.7,8.0488,5.9634,88.286,
buyatti,14,edar_deit3_base_patch16_224.fb_in1k,soygene,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,12763,11143,64.26456264087437,1.520300345359442,99.97644472361809,0.0021807965939518196,38.26,8.1582,6.8629,88.3029,
buyatti,14,glsf_vit_base_patch16_224.in1k_mocov3,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,12763,11143,58.44925219937992,1.7897079533261802,100.0,0.0018264660377748049,33.09,8.0488,5.9634,88.286,
buyatti,14,glsf_vit_base_patch16_224.in1k_mocov3,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,12763,11143,59.03257848210195,1.7788735582081543,100.0,0.001494593674962844,41.86,8.0488,5.9634,88.286,
buyatti,14,edar_deit3_base_patch16_224.fb_in1k,soygene,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,12763,11143,62.5415077425147,1.6575995842274678,100.0,0.0006015738331942103,48.57,8.1582,6.8629,88.3029,
buyatti,14,glsf_vit_base_patch16_224.in1k_mocov3,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,600,600,49.50000152587891,2.4390024038461537,100.0,0.6424312591552734,3.79,2.9316,5.962,86.8873,
buyatti,14,edar_deit3_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,6667,3333,84.18842135754713,0.7122227260044642,99.98497596153848,0.001898058958781453,21.6,3.4199,6.8614,86.7505,
