host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soygene,[0.1],0.1,"[3, 6, 9]",TRUE,TRUE,1,2,0,100,0.0001,45,448,32,12763,11143,57.87490064,1.817261266,100,0.016591359,33.89,4.1523,2.3805,6.2607,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soygene,[],,[],TRUE,TRUE,1,2,0,1,0.0001,45,448,32,12763,11143,67.77349207,1.319489442,100,0.004501459,48.15,8.2656,7.1618,6.2596,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageing,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,448,32,4950,4950,63.45454699,1.518174392,99.97970779,0.023675387,13.48,3.3027,2.3537,5.6755,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageing,[],,[],FALSE,FALSE,0,2,0,1,0.0001,45,448,32,4950,4950,70.86868922,1.223191481,100,0.005546547,19.38,7.3594,7.1279,5.6755,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageing,[0.1],0.1,"[3, 6, 9]",TRUE,TRUE,1,2,0,100,0.0001,45,448,32,4950,4950,77.45454775,0.881981483,100,0.034587128,13.93,3.3105,2.3802,5.9096,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageing,[],,[],TRUE,TRUE,1,2,0,1,0.0001,45,448,32,4950,4950,80.00000251,0.802980863,100,0.016954148,19.83,7.7891,7.1614,5.9085,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,cotton,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,448,32,240,240,20.83333416,3.5828125,100,0.328310694,1.34,3.291,2.3536,5.6528,
buyatti,60,deit_tiny_patch16_224.fb_in1k,cotton,[],,[],FALSE,FALSE,0,2,0,1,0.0001,45,448,32,240,240,37.50000153,2.66875,100,0.056633064,1.62,7.3535,7.1279,5.6528,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,cotton,[0.1],0.1,"[3, 6, 9]",TRUE,TRUE,1,2,0,100,0.0001,45,448,32,240,240,40.83333435,3.067578125,100,1.086298261,1.35,3.2891,2.3801,5.8642,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageingr1,[],,[],FALSE,FALSE,0,2,0,1,0.0001,45,448,32,990,990,70.30303211,1.259114583,100,0.023821906,5.37,7.3477,7.1279,5.6755,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr1,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,448,32,990,990,55.05050675,1.746047247,99.89583333,0.081770738,4.07,3.293,2.3537,5.6755,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageingr3,[],,[],TRUE,TRUE,1,2,0,1,0.0001,45,448,32,990,990,79.19192165,1.569103423,100,0.433016268,5.49,7.7852,7.1614,5.9085,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr3,[0.1],0.1,"[3, 6, 9]",TRUE,TRUE,1,2,0,100,0.0001,45,448,32,990,990,76.666669,1.531622024,99.79166667,0.526744525,4.17,3.293,2.3802,5.9096,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,cotton,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,10,0.0001,45,448,32,240,240,25.00000076,3.390234375,100,0.226578781,1.41,3.291,2.3536,5.6528,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,cotton,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,1,0.0001,45,448,32,240,240,19.58333397,3.737890625,99.55357143,0.215989998,1.4,3.291,2.3536,5.6528,
buyatti,60,deit_tiny_patch16_224.fb_in1k,cotton,[],,[],FALSE,FALSE,0,2,0,100,0.0001,45,448,32,240,240,35.4166687,2.64140625,100,0.053564072,1.79,7.3535,7.1279,5.6528,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,cotton,[0.1],0.1,"[3, 6, 9]",TRUE,TRUE,1,2,0,1,0.0001,45,448,32,240,240,38.33333511,3.08828125,100,1.237364633,1.4,3.2891,2.3801,5.8642,
buyatti,60,deit_tiny_patch16_224.fb_in1k,cotton,[],,[],TRUE,TRUE,1,2,0,100,0.0001,45,448,32,240,240,55.00000153,2.94375,100,0.949332101,1.8,7.7832,7.1614,5.863,
buyatti,60,deit_tiny_patch16_224.fb_in1k,cotton,[],,[],FALSE,FALSE,0,2,0,10,0.0001,45,448,32,240,240,42.08333435,2.487109375,100,0.059338229,1.63,7.3535,7.1279,5.6528,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,cotton,[0.1],0.1,"[3, 6, 9]",TRUE,TRUE,1,2,0,10,0.0001,45,448,32,240,240,41.66666794,3.090625,100,1.169957842,1.35,3.2891,2.3801,5.8642,
buyatti,60,deit_tiny_patch16_224.fb_in1k,cotton,[],,[],TRUE,TRUE,1,2,0,10,0.0001,45,448,32,240,240,57.08333435,2.861328125,100,0.911354065,1.6,7.7832,7.1614,5.863,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr6,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,448,32,990,990,45.45454649,2.291666667,99.89583333,0.089392471,4.48,3.293,2.3537,5.6755,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageingr6,[],,[],FALSE,FALSE,0,2,0,1,0.0001,45,448,32,990,990,50.50505198,2.145693824,100,0.033525896,5.69,7.3477,7.1279,5.6755,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr1,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,1,0.0001,45,448,32,990,990,58.18182036,1.683686756,100,0.069432807,3.5,3.293,2.3537,5.6755,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr6,[0.1],0.1,"[3, 6, 9]",TRUE,TRUE,1,2,0,100,0.0001,45,448,32,990,990,63.83838584,2.043619792,99.6875,0.661883227,4.22,3.293,2.3802,5.9096,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr5,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,448,32,990,990,58.98990083,1.637532552,100,0.094939327,4.21,3.293,2.3537,5.6755,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageingr5,[],,[],FALSE,FALSE,0,2,0,1,0.0001,45,448,32,990,990,65.95959859,1.387044271,100,0.029013185,5.61,7.3477,7.1279,5.6755,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr5,[0.1],0.1,"[3, 6, 9]",TRUE,TRUE,1,2,0,100,0.0001,45,448,32,990,990,76.16161862,1.496791295,99.6875,0.576253255,4.68,3.3242,2.3802,5.9096,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageingr5,[],,[],TRUE,TRUE,1,2,0,1,0.0001,45,448,32,990,990,78.28283123,1.561337426,100,0.426474889,5.54,7.7852,7.1614,5.9085,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr4,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,448,32,990,990,55.85858758,1.924990699,99.58333333,0.112238701,4,3.293,2.3537,5.6755,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageingr4,[],,[],FALSE,FALSE,0,2,0,1,0.0001,45,448,32,990,990,66.26262817,1.440359933,100,0.029370628,5.3,7.3477,7.1279,5.6755,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr4,[0.1],0.1,"[3, 6, 9]",TRUE,TRUE,1,2,0,100,0.0001,45,448,32,990,990,75.65656803,1.578776042,99.58333333,0.511215846,4.5,3.293,2.3802,5.9096,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageingr4,[],,[],TRUE,TRUE,1,2,0,1,0.0001,45,448,32,990,990,80.20202295,1.627092634,100,0.437682279,5.41,7.7852,7.1614,5.9085,
buyatti,60,evit_deit_tiny_patch16_224.fb_in1k,soyageingr3,[0.1],0.1,"[3, 6, 9]",FALSE,FALSE,0,2,0,100,0.0001,45,448,32,990,990,54.04040569,1.991024926,100,0.122813082,4.05,3.293,2.3537,5.6755,
buyatti,60,deit_tiny_patch16_224.fb_in1k,soyageingr3,[],,[],FALSE,FALSE,0,2,0,1,0.0001,45,448,32,990,990,62.72727416,1.560453869,100,0.029306519,5.3,7.3477,7.1279,5.6755,
