host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,1,0.0005,45,224,128,,11143,,,,,2.5353,1.7188,12.1797,88.286,366.2584
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0,1,0.0005,45,224,256,,11143,,,,,2.6606,2.8027,8.8227,86.6522,349.0167
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,1,0.0005,45,224,256,,11143,,,,,2.6564,2.9941,12.1797,88.286,349.5708
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0,1,0.0005,45,224,2,,11143,,,,,3.1808,0.5664,8.8227,86.6522,291.9369
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0,1,0.0005,45,224,4,,11143,,,,,2.7745,0.5684,8.8227,86.6522,334.6827
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0,1,0.0005,45,224,8,,11143,,,,,2.6188,0.5879,8.8227,86.6522,354.5844
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0,1,0.0005,45,224,16,,11143,,,,,2.55,0.6152,8.8227,86.6522,364.1549
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0,1,0.0005,45,224,32,,11143,,,,,2.5318,0.7734,8.8227,86.6522,366.7666
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0,1,0.0005,45,224,64,,11143,,,,,2.545,1.0645,8.8227,86.6522,364.8632
DGX-CN01,40,evit_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",False,False,0,2,0,1,0.0005,45,224,1,,11143,,,,,5.027,0.5664,8.8227,86.6522,184.7186
