host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
buyatti,60,deit_tiny_patch16_224.fb_in1k,cotton,[],,[],True,True,1,2,0,1,0.0001,45,448,32,240,240,51.25000076293945,3.0109375,100.0,0.8847601754324776,1.59,7.7832,7.1614,5.863,
pc427-08,60,dyvit_deit_tiny_patch16_224.fb_in1k,soyageingr1,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,448,32,990,990,21.717172460845024,4.241164434523809,99.6875,0.4774118850628535,82.64,11.8066,2.0697,6.0918,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageing,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,448,32,4950,4950,81.39394205729167,0.7603642390324519,100.0,0.018705130203977807,14.11,4.0977,3.4074,5.9096,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageing,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,448,32,4950,4950,81.43434587883227,0.7463202843299279,100.0,0.020790024237199264,14.03,4.0977,3.4074,5.9096,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageingr6,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,448,32,990,990,68.78788096110026,1.9856305803571428,100.0,0.4362325032552083,4.07,4.0996,3.4074,5.9096,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageingr6,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,448,32,990,990,67.97979930530894,2.008510044642857,100.0,0.4883000691731771,4.14,4.1055,3.4074,5.9096,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageingr6,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,448,32,990,990,67.67676923347241,1.9788876488095235,100.0,0.4497430165608724,4.09,4.0996,3.4074,5.9096,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageingr5,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,448,32,990,990,80.90909391460997,1.4240373883928572,100.0,0.4155340194702149,4.14,4.0996,3.4074,5.9096,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageingr5,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,448,32,990,990,81.7171737208511,1.3897646949404765,100.0,0.4072546005249024,4.31,4.0996,3.4074,5.9096,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageingr5,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,448,32,990,990,81.51515364213424,1.4443824404761905,100.0,0.4713843027750651,4.13,4.0996,3.4074,5.9096,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageingr4,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,448,32,990,990,80.8080825805664,1.465727306547619,99.89583333333331,0.45454489390055336,4.07,4.1055,3.4074,5.9096,
buyatti,60,glsf_deit_tiny_patch16_224.fb_in1k,soyageingr4,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,448,32,990,990,78.0808104543975,1.5265997023809523,99.79166666666669,0.4253962198893229,4.02,4.0996,3.4074,5.9096,
